review,rating,tokens,clean_text
"I love this game so much but I will admit it takes up alot of space and has trouble with lagging and loading but that's only if you play it on your phone so I recommend playing on a gaming console. The art style and animation is beautiful and looks like it took alot of time and effort to make. The stories and quests are really fun. And I find it fun to try and work hard to get characters , it's very rewarding. Also make sure you get a lyre to play because it sounds so pretty.",5,"['love', 'game', 'much', 'admit', 'take', 'alot', 'space', 'trouble', 'lagging', 'loading', 'thats', 'play', 'phone', 'recommend', 'playing', 'gaming', 'console', 'art', 'style', 'animation', 'beautiful', 'look', 'like', 'took', 'alot', 'time', 'effort', 'make', 'story', 'quest', 'really', 'fun', 'find', 'fun', 'try', 'work', 'hard', 'get', 'character', 'rewarding', 'also', 'make', 'sure', 'get', 'lyre', 'play', 'sound', 'pretty']",love game much admit take alot space trouble lagging loading thats play phone recommend playing gaming console art style animation beautiful look like took alot time effort make story quest really fun find fun try work hard get character rewarding also make sure get lyre play sound pretty
"I LOVE this game, it has lots of stuff even sometimes I feel suffocated by it, but the domains of enemies especially when it's timed is tiring. Even when my character's levels are way higher than the enemies, I somehow can't seem to kill most of the enemies in the time limit... it's an amazing game but sometimes it forces me into a quest like: Palace of the Vision Serpent, I can't leave it and go back to Co-Op, it's super annoying and I can't even play with friends, only talk..",3,"['love', 'game', 'lot', 'stuff', 'even', 'sometimes', 'feel', 'suffocated', 'domain', 'enemy', 'especially', 'timed', 'tiring', 'even', 'character', 'level', 'way', 'higher', 'enemy', 'somehow', 'cant', 'seem', 'kill', 'enemy', 'time', 'limit', 'amazing', 'game', 'sometimes', 'force', 'quest', 'like', 'palace', 'vision', 'serpent', 'cant', 'leave', 'back', 'coop', 'super', 'annoying', 'cant', 'even', 'play', 'friend', 'talk']",love game lot stuff even sometimes feel suffocated domain enemy especially timed tiring even character level way higher enemy somehow cant seem kill enemy time limit amazing game sometimes force quest like palace vision serpent cant leave back coop super annoying cant even play friend talk
"Overall a good game while still a typical p2w gacha.. Gameplay is solid, been playing for a while, yet as a f2p I can't have a complete team. Side story and even small quests that gave you nothing still can't be skipped. And recently they added a game in a game that should be a separate game, baiting you to either play it or just let it eat up your device's space for no reason, not to mention that 'extra game' also paywalled.",3,"['overall', 'good', 'game', 'still', 'typical', 'gacha', 'gameplay', 'solid', 'playing', 'yet', 'cant', 'complete', 'team', 'side', 'story', 'even', 'small', 'quest', 'gave', 'nothing', 'still', 'cant', 'skipped', 'recently', 'added', 'game', 'game', 'separate', 'game', 'baiting', 'either', 'play', 'let', 'eat', 'device', 'space', 'reason', 'mention', 'extra', 'game', 'also', 'paywalled']",overall good game still typical gacha gameplay solid playing yet cant complete team side story even small quest gave nothing still cant skipped recently added game game separate game baiting either play let eat device space reason mention extra game also paywalled
"I love this game the story and fun are never ending, there is always stuff to do and new things to see. The only problem is that eats 5 hours in a day no problem if your not careful, but I won't really sad that's bad thing more it just being a great game. Tones of lore, lots of quests and characters, and puzzles all over totally worth trying!!!",5,"['love', 'game', 'story', 'fun', 'never', 'ending', 'always', 'stuff', 'new', 'thing', 'see', 'problem', 'eats', 'hour', 'day', 'problem', 'careful', 'wont', 'really', 'sad', 'thats', 'bad', 'thing', 'great', 'game', 'tone', 'lore', 'lot', 'quest', 'character', 'puzzle', 'totally', 'worth', 'trying']",love game story fun never ending always stuff new thing see problem eats hour day problem careful wont really sad thats bad thing great game tone lore lot quest character puzzle totally worth trying
"My friend came back and can't play anymore because everything is too hard. I can't play old favorite characters because they're too weak now. Powercreep will kill this game when new players get to more recent regions and quit out of frustration, and old players will give up because of unsatisfying boss gimmicks. It feels like the devs don't play their own game. I can't imagine the majority of them fighting a boss and thought to themselves, ""this is so fun! let's share it with the players!"".",3,"['friend', 'came', 'back', 'cant', 'play', 'anymore', 'everything', 'hard', 'cant', 'play', 'old', 'favorite', 'character', 'theyre', 'weak', 'powercreep', 'kill', 'game', 'new', 'player', 'get', 'recent', 'region', 'quit', 'frustration', 'old', 'player', 'give', 'unsatisfying', 'bos', 'gimmick', 'feel', 'like', 'devs', 'dont', 'play', 'game', 'cant', 'imagine', 'majority', 'fighting', 'bos', 'thought', 'fun', 'let', 'share', 'player']",friend came back cant play anymore everything hard cant play old favorite character theyre weak powercreep kill game new player get recent region quit frustration old player give unsatisfying bos gimmick feel like devs dont play game cant imagine majority fighting bos thought fun let share player
"A lot to do in a massive open world, variety of characters and elemental powers with multiple weapons including mages. Its a long term game. Downside its insanely difficult to get artifacts to equip characters with the stats you are looking for plus in a single run to farm them it has two different types of artifacts instead of one which makes it even harder. You'll spend lot of Resin (energy) to get barely or exactly what you want just to build a single character. Developers should improve this",4,"['lot', 'massive', 'open', 'world', 'variety', 'character', 'elemental', 'power', 'multiple', 'weapon', 'including', 'mages', 'long', 'term', 'game', 'downside', 'insanely', 'difficult', 'get', 'artifact', 'equip', 'character', 'stats', 'looking', 'plus', 'single', 'run', 'farm', 'two', 'different', 'type', 'artifact', 'instead', 'one', 'make', 'even', 'harder', 'youll', 'spend', 'lot', 'resin', 'energy', 'get', 'barely', 'exactly', 'want', 'build', 'single', 'character', 'developer', 'improve']",lot massive open world variety character elemental power multiple weapon including mages long term game downside insanely difficult get artifact equip character stats looking plus single run farm two different type artifact instead one make even harder youll spend lot resin energy get barely exactly want build single character developer improve
"This game loses its charm quickly. It becomes a slog through the dialogue and story with its lack of a skip function, and becomes a grind for stat boosts at a random chance. It was initially fun to play but now I feel that the combat is just so boring and repetitive, it leaves no room for experiments, only higher damage numbers. This game does not care for your time and only wants your money with its stingy gacha rates and little gratitude towards its playerbase.",2,"['game', 'loses', 'charm', 'quickly', 'becomes', 'slog', 'dialogue', 'story', 'lack', 'skip', 'function', 'becomes', 'grind', 'stat', 'boost', 'random', 'chance', 'initially', 'fun', 'play', 'feel', 'combat', 'boring', 'repetitive', 'leaf', 'room', 'experiment', 'higher', 'damage', 'number', 'game', 'care', 'time', 'want', 'money', 'stingy', 'gacha', 'rate', 'little', 'gratitude', 'towards', 'playerbase']",game loses charm quickly becomes slog dialogue story lack skip function becomes grind stat boost random chance initially fun play feel combat boring repetitive leaf room experiment higher damage number game care time want money stingy gacha rate little gratitude towards playerbase
"The games good, yes but for some reason it's lacking a lot of vital features. The domains are a pain to do over and over again for good artificts—it significantly impacts gameplay and makes the game play feel like a chore and not fun like it used to in the start. There should be a feature to skip the domain gameplay after you've played it five or so times (like the cooking mechanic). And the standard banner needs a serious update and rework.",1,"['game', 'good', 'yes', 'reason', 'lacking', 'lot', 'vital', 'feature', 'domain', 'pain', 'good', 'artifictsit', 'significantly', 'impact', 'gameplay', 'make', 'game', 'play', 'feel', 'like', 'chore', 'fun', 'like', 'used', 'start', 'feature', 'skip', 'domain', 'gameplay', 'youve', 'played', 'five', 'time', 'like', 'cooking', 'mechanic', 'standard', 'banner', 'need', 'serious', 'update', 'rework']",game good yes reason lacking lot vital feature domain pain good artifictsit significantly impact gameplay make game play feel like chore fun like used start feature skip domain gameplay youve played five time like cooking mechanic standard banner need serious update rework
"(edited) I've been playing this game since January 16th, 2022. I have no real complaints.. The style is nice but lately there has been TOO MUCH fan service to the point where I'm not even surprised about it anymore, it's honestly ridiculous. But the characters are all interesting in their own ways and there's sooo much more that's gonna be added to the game so it's not rlly boring!! I have an OLD phone (Samsung Galaxy s10e) and it still runs smoothly, sometimes it'll glitch but not too badly!",3,"['edited', 'ive', 'playing', 'game', 'since', 'january', 'real', 'complaint', 'style', 'nice', 'lately', 'much', 'fan', 'service', 'point', 'even', 'surprised', 'anymore', 'honestly', 'ridiculous', 'character', 'interesting', 'way', 'there', 'sooo', 'much', 'thats', 'gon', 'added', 'game', 'rlly', 'boring', 'old', 'phone', 'samsung', 'galaxy', 'still', 'run', 'smoothly', 'sometimes', 'itll', 'glitch', 'badly']",edited ive playing game since january real complaint style nice lately much fan service point even surprised anymore honestly ridiculous character interesting way there sooo much thats gon added game rlly boring old phone samsung galaxy still run smoothly sometimes itll glitch badly
"Genshin has been really one of my fav games ever since i started playing it for like lots of hours. the beginning was so good, the stories are well arranged, the graphics are amazing, and the characters are beautiful, plus super cool. But unfortunately, Idk why genshin that. it should be improving the end-game, too, like what it did in the beginning. Also, the game depends on fanservice too much. I can't imagine there are only two men archons. pls fix the lore...it deserves better than that.",3,"['genshin', 'really', 'one', 'fav', 'game', 'ever', 'since', 'started', 'playing', 'like', 'lot', 'hour', 'beginning', 'good', 'story', 'well', 'arranged', 'graphic', 'amazing', 'character', 'beautiful', 'plus', 'super', 'cool', 'unfortunately', 'idk', 'genshin', 'improving', 'endgame', 'like', 'beginning', 'also', 'game', 'depends', 'fanservice', 'much', 'cant', 'imagine', 'two', 'men', 'archons', 'pls', 'fix', 'loreit', 'deserves', 'better']",genshin really one fav game ever since started playing like lot hour beginning good story well arranged graphic amazing character beautiful plus super cool unfortunately idk genshin improving endgame like beginning also game depends fanservice much cant imagine two men archons pls fix loreit deserves better
"Very fun, complex, game that always has something interesting to do. The art is beautiful, and I love the individuality of each character. The storylines are enjoyable, and most of the battles aren't too hard. The only downside is how much storage the game takes up, but that's to be expected. My phone does heat up a lot though.",5,"['fun', 'complex', 'game', 'always', 'something', 'interesting', 'art', 'beautiful', 'love', 'individuality', 'character', 'storyline', 'enjoyable', 'battle', 'arent', 'hard', 'downside', 'much', 'storage', 'game', 'take', 'thats', 'expected', 'phone', 'heat', 'lot', 'though']",fun complex game always something interesting art beautiful love individuality character storyline enjoyable battle arent hard downside much storage game take thats expected phone heat lot though
"Story is AMAZING. archon quests are fun but side quests tend to get long and annoying. Would appreciate a skip button for that. Farming for artifact exp materials is literally impossible without events (that too a small amount) which is a huge drawback. Domains are also only available on specific days, which is unrealistic expecting players to have sufficient time to log in everyday for the materials. Exploration is also slow. Farming primos is hell, and building characters is almost impossible.",2,"['story', 'amazing', 'archon', 'quest', 'fun', 'side', 'quest', 'tend', 'get', 'long', 'annoying', 'would', 'appreciate', 'skip', 'button', 'farming', 'artifact', 'exp', 'material', 'literally', 'impossible', 'without', 'event', 'small', 'amount', 'huge', 'drawback', 'domain', 'also', 'available', 'specific', 'day', 'unrealistic', 'expecting', 'player', 'sufficient', 'time', 'log', 'everyday', 'material', 'exploration', 'also', 'slow', 'farming', 'primo', 'hell', 'building', 'character', 'almost', 'impossible']",story amazing archon quest fun side quest tend get long annoying would appreciate skip button farming artifact exp material literally impossible without event small amount huge drawback domain also available specific day unrealistic expecting player sufficient time log everyday material exploration also slow farming primo hell building character almost impossible
"As someone who has gotten decently far into the game (AR55) and played around the Inazuma release, I have plenty of experience from this game itself. That being said, all this game is doing currently is going south. The company refuses to listen to valid, useful criticism. End-game content is boring, and rewards simply aren't enough to suffice the gacha system. Resin cap is too small, so farming for characters is tremendously time-consuming, and frankly, their updates fall flat more than less.",1,"['someone', 'gotten', 'decently', 'far', 'game', 'played', 'around', 'inazuma', 'release', 'plenty', 'experience', 'game', 'said', 'game', 'currently', 'going', 'south', 'company', 'refuse', 'listen', 'valid', 'useful', 'criticism', 'endgame', 'content', 'boring', 'reward', 'simply', 'arent', 'enough', 'suffice', 'gacha', 'system', 'resin', 'cap', 'small', 'farming', 'character', 'tremendously', 'timeconsuming', 'frankly', 'update', 'fall', 'flat', 'less']",someone gotten decently far game played around inazuma release plenty experience game said game currently going south company refuse listen valid useful criticism endgame content boring reward simply arent enough suffice gacha system resin cap small farming character tremendously timeconsuming frankly update fall flat less
"It won't let me access the game anymore. Literally! I'm only in the part where they show you ""HOYOVERSE"", and I get kicked out of the game. I got to access it yesterday, but I can't access it now anymore. I tried uninstalling and installing it again, didn't work. If the servers are under maintenance, they would send me a notice at the game before kicking me out, which wasn't the case. I don't think it's because of my phone either. PLEASE! FIX THIS!",1,"['wont', 'let', 'access', 'game', 'anymore', 'literally', 'part', 'show', 'hoyoverse', 'get', 'kicked', 'game', 'got', 'access', 'yesterday', 'cant', 'access', 'anymore', 'tried', 'uninstalling', 'installing', 'didnt', 'work', 'server', 'maintenance', 'would', 'send', 'notice', 'game', 'kicking', 'wasnt', 'case', 'dont', 'think', 'phone', 'either', 'please', 'fix']",wont let access game anymore literally part show hoyoverse get kicked game got access yesterday cant access anymore tried uninstalling installing didnt work server maintenance would send notice game kicking wasnt case dont think phone either please fix
I genuinely enjoy the game but there are some glaring technical issues that deeply bother me when it comes to the app version of this game. Lack of controler support The iOS version benefiting from this while leaving android in the dust is rather annoying. Random crashing Both me and my friend have experienced periods when the game would crash on the title screen for no reason whatsoever and the only fix was waiting a few days.,2,"['genuinely', 'enjoy', 'game', 'glaring', 'technical', 'issue', 'deeply', 'bother', 'come', 'app', 'version', 'game', 'lack', 'controler', 'support', 'io', 'version', 'benefiting', 'leaving', 'android', 'dust', 'rather', 'annoying', 'random', 'crashing', 'friend', 'experienced', 'period', 'game', 'would', 'crash', 'title', 'screen', 'reason', 'whatsoever', 'fix', 'waiting', 'day']",genuinely enjoy game glaring technical issue deeply bother come app version game lack controler support io version benefiting leaving android dust rather annoying random crashing friend experienced period game would crash title screen reason whatsoever fix waiting day
"Originally gave genshin a 5* review back on the 12/12/2020, back when I was so immersed and in love with the game. Now, it's a 3* max. The game I once enjoyed and looked forward to playing is now only played for the sake of nostalgia (+ the money I spent). Sorry Hoyo, the moment you decided debuting Mavuika and Citlali limited banners together while adding the 30 free pulls to the rerun phase, I lost interest. There are more issues (bland char animation, no skip button,etc.) than I can type now.",3,"['originally', 'gave', 'genshin', 'review', 'back', 'back', 'immersed', 'love', 'game', 'max', 'game', 'enjoyed', 'looked', 'forward', 'playing', 'played', 'sake', 'nostalgia', 'money', 'spent', 'sorry', 'hoyo', 'moment', 'decided', 'debuting', 'mavuika', 'citlali', 'limited', 'banner', 'together', 'adding', 'free', 'pull', 'rerun', 'phase', 'lost', 'interest', 'issue', 'bland', 'char', 'animation', 'skip', 'buttonetc', 'type']",originally gave genshin review back back immersed love game max game enjoyed looked forward playing played sake nostalgia money spent sorry hoyo moment decided debuting mavuika citlali limited banner together adding free pull rerun phase lost interest issue bland char animation skip buttonetc type
"it is a good game and all...but i am not far in the story and am adventure rank 13. no problems up to this point. but now the game always kicks me out for some reason. i already teied to free up space, i tried to adjust the settings, to fix the files, everything. but it just freezes up at one point, then goes to black and i'm back at my home screen. I have nothing against this game, quite the opposite, i love it, but i don't understand what i am supposed to do when it just kicks me out.",2,"['good', 'game', 'allbut', 'far', 'story', 'adventure', 'rank', 'problem', 'point', 'game', 'always', 'kick', 'reason', 'already', 'teied', 'free', 'space', 'tried', 'adjust', 'setting', 'fix', 'file', 'everything', 'freeze', 'one', 'point', 'go', 'black', 'back', 'home', 'screen', 'nothing', 'game', 'quite', 'opposite', 'love', 'dont', 'understand', 'supposed', 'kick']",good game allbut far story adventure rank problem point game always kick reason already teied free space tried adjust setting fix file everything freeze one point go black back home screen nothing game quite opposite love dont understand supposed kick
"I've started playing this game last year May 2024. While the gameplay was nice especially quests and open world adventure. But sometimes it's just kinda bored since it is open world adventure and gotta wandering around for hours just to look for quests. And also, the update and installation of this game takes very long to get in. Please make this game a bit more fun and more quests make me less bored and also shorten the duration of update. It's just take too long, hopefully fix that that's all",5,"['ive', 'started', 'playing', 'game', 'last', 'year', 'may', 'gameplay', 'nice', 'especially', 'quest', 'open', 'world', 'adventure', 'sometimes', 'kinda', 'bored', 'since', 'open', 'world', 'adventure', 'got', 'wandering', 'around', 'hour', 'look', 'quest', 'also', 'update', 'installation', 'game', 'take', 'long', 'get', 'please', 'make', 'game', 'bit', 'fun', 'quest', 'make', 'less', 'bored', 'also', 'shorten', 'duration', 'update', 'take', 'long', 'hopefully', 'fix', 'thats']",ive started playing game last year may gameplay nice especially quest open world adventure sometimes kinda bored since open world adventure got wandering around hour look quest also update installation game take long get please make game bit fun quest make less bored also shorten duration update take long hopefully fix thats
"I've played this game for a long time and really tried giving it a chance, but its really just getting absurd. this company does NOT AT ALL listen to its fans. it ignores completely the issues their facing. even if they try to fix it, they'll still do it horribly and more to their advantage. not no mention that it is an absolute struggle to play if you dont spend money. it really does not support f2p. the storytelling is horrible, REALLY boring. its got good lore, just not good storytelling.",1,"['ive', 'played', 'game', 'long', 'time', 'really', 'tried', 'giving', 'chance', 'really', 'getting', 'absurd', 'company', 'listen', 'fan', 'ignores', 'completely', 'issue', 'facing', 'even', 'try', 'fix', 'theyll', 'still', 'horribly', 'advantage', 'mention', 'absolute', 'struggle', 'play', 'dont', 'spend', 'money', 'really', 'support', 'storytelling', 'horrible', 'really', 'boring', 'got', 'good', 'lore', 'good', 'storytelling']",ive played game long time really tried giving chance really getting absurd company listen fan ignores completely issue facing even try fix theyll still horribly advantage mention absolute struggle play dont spend money really support storytelling horrible really boring got good lore good storytelling
"The character designs and voice acting was ideal! The music was unique and excellently composed, and the exploration to the combat was one of the biggest highlights for me. However, I have always disliked their childish enemy designs, I always felt the music was more mature than the enemies themselves as well as the world design. The game is maturing into a millennial orientated game after Natland and I just can't pay the price for the content out now. Being a player since year one, sad change.",3,"['character', 'design', 'voice', 'acting', 'ideal', 'music', 'unique', 'excellently', 'composed', 'exploration', 'combat', 'one', 'biggest', 'highlight', 'however', 'always', 'disliked', 'childish', 'enemy', 'design', 'always', 'felt', 'music', 'mature', 'enemy', 'well', 'world', 'design', 'game', 'maturing', 'millennial', 'orientated', 'game', 'natland', 'cant', 'pay', 'price', 'content', 'player', 'since', 'year', 'one', 'sad', 'change']",character design voice acting ideal music unique excellently composed exploration combat one biggest highlight however always disliked childish enemy design always felt music mature enemy well world design game maturing millennial orientated game natland cant pay price content player since year one sad change
"5.0 Update: GI offers an incredible open-world, and the recent story has been strong as well. The dailies system has been improved to reward engagement with quests, while also making it easier to use resin and get rewarded. The game's biggest flaws continue to be a painfully slow character building process, and story pacing that prevents fast readers (or those bored with events) to get through content quickly. With a dialogue skip, and some more QoL, I think GI can continue to be a great title.",5,"['update', 'offer', 'incredible', 'openworld', 'recent', 'story', 'strong', 'well', 'daily', 'system', 'improved', 'reward', 'engagement', 'quest', 'also', 'making', 'easier', 'use', 'resin', 'get', 'rewarded', 'game', 'biggest', 'flaw', 'continue', 'painfully', 'slow', 'character', 'building', 'process', 'story', 'pacing', 'prevents', 'fast', 'reader', 'bored', 'event', 'get', 'content', 'quickly', 'dialogue', 'skip', 'qol', 'think', 'continue', 'great', 'title']",update offer incredible openworld recent story strong well daily system improved reward engagement quest also making easier use resin get rewarded game biggest flaw continue painfully slow character building process story pacing prevents fast reader bored event get content quickly dialogue skip qol think continue great title
